name,asin,keyword,price,stars,rating_count,url
"Seagate Exos 7E8, 8 To, Disque dur interne d’entreprise HDD, SAS, 3,5"", pour entreprise et centre de données (ST8000NM001A)",B07SW1BH6Q,HDD,,"3,9 sur 5 étoiles",15 évaluations,https://www.amazon.fr/Seagate-ST8000NM001A-Disque-Dur-8000/dp/B07SW1BH6Q/ref=sr_1_124
"Boitier Disque Dur 2.5, ORICO 6Gbps USB C 3.1 Gen 1 Boitier Externe Disque pour SATA HDD et SSD de 2,5'' et 7/9.5 mm, accélération UASP, Trim, sans Outils(Noir, 25PW1C)",B0B92C5DSB,HDD,10,"4,2 sur 5 étoiles",617 évaluations,https://www.amazon.fr/Boitier-Disque-ORICO-Externe-acc%C3%A9l%C3%A9ration/dp/B0B92C5DSB/ref=sr_1_123
"TooQ TQE-3527B - Boîtier de stockage pour disques durs HDD de 3.5 ""- (SATA I / II / III, USB 3.0)- aluminium- voyant LED- Noir- 350 grs.",B00MYN9V9W,HDD,25,"4,5 sur 5 étoiles",3 791 évaluations,https://www.amazon.fr/TooQ-TQE-3527B-Bo%C3%AEtier-stockage-aluminium/dp/B00MYN9V9W/ref=sr_1_122
Western Digital HDD Desk Red Pro 8TB 3.5 SATA 256MB,B07FJJB382,HDD,262,"3,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/HDD-Desk-Red-SATA-256MB/dp/B07FJJB382/ref=sr_1_121
"Unitek Adaptateur vers SATA/IDE USB 3.0,Adaptateur Disque Dur IDE SATA pour Disque Dur HDD/SSD Externe Universel 2,5/3,5 pouces,avec Adaptateur Secteur et témoin d’activité à LED.[Jusqu’à 10TB]",B01NAUIA6G,HDD,34,"4,5 sur 5 étoiles",4 584 évaluations,https://www.amazon.fr/Unitek-3-0-SATAIII-adaptateur-convertisseur/dp/B01NAUIA6G/ref=sr_1_120
"WD Blue Disque dur interne (Bulk) Desktop Mainstream 1 To 3,5 pouces SATA 7200 RPM",B00D0243DU,HDD,87,"4,3 sur 5 étoiles",52 évaluations,https://www.amazon.fr/Disque-interne-Desktop-Mainstream-pouces/dp/B00D0243DU/ref=sr_1_119
"Icy Dock ToughArmor MB411SPO-B Rack Amovible SSD/HDD 2,5"" Hot-Swap SATA pour Baie Optique Slim CD/DVD-ROM 12.7mm Odd ou FDD",B01998GYJO,HDD,53,"4,4 sur 5 étoiles",551 évaluations,https://www.amazon.fr/Icy-Dock-MB411SPO-B-Obturateur-lecteur/dp/B01998GYJO/ref=sr_1_118
"Seagate Surveillance HDD Skyhawk AI 3.5"" 16000 Go Série ATA III",B08R3Z2JL1,HDD,330,"1,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/Seagate-Surveillance-Skyhawk-16000-S%C3%A9rie/dp/B08R3Z2JL1/ref=sr_1_117
"TooQ TQE-2527B - Boîtier de Stockage pour disques durs HDD de 2.5"", (SATA I/II/III jusqu'à 9.5 mm d'épaisseur, USB 3.0), Aluminium, Voyant LED, Noir, 50 grs.",B00MYN9US4,HDD,9,"4,6 sur 5 étoiles",2 632 évaluations,https://www.amazon.fr/TooQ-TQE-2527B-Bo%C3%AEtier-disque-externe/dp/B00MYN9US4/ref=sr_1_115
"Disque dur externe de 12 To Type-C USB 3.1 pour ordinateur de bureau, ordinateur portable, Mac (12 To, bleu)",B0BLK7RNWB,HDD,182,"1,6 sur 5 étoiles",4 évaluations,https://www.amazon.fr/Disque-externe-Type-C-ordinateur-portable/dp/B0BLK7RNWB/ref=sr_1_114
"WD 6To My Book - Disque dur externe de bureau avec logiciels de gestion du disque et de sauvegarde et protection par mot de passe, compatible PC & Mac",B01M0SH124,HDD,143,"4,4 sur 5 étoiles",9 969 évaluations,https://www.amazon.fr/Western-Digital-WDBBGB0060HBK-EESN-Disque-Externe/dp/B01M0SH124/ref=sr_1_113
